@relation multicriteria_predicted

@attribute user numeric
@attribute project numeric
@attribute criterium1 numeric
@attribute criterium2 numeric
@attribute criterium3 numeric
@attribute criterium4 numeric
@attribute criterium5 numeric
@attribute criterium6 numeric
@attribute criterium7 numeric
@attribute criterium8 numeric
@attribute criterium9 numeric
@attribute criterium10 numeric
@attribute predictedoverall numeric
@attribute overall numeric

@data
36,151,5,5,4,5,5,5,5,5,5,5,4.199005,4
9,114,0,5,5,5,0,0,5,0,5,5,4.199005,4
84,3517,5,2,4,5,5,5,5,5,4,5,4.199005,5
87,151,4,0,4,4,0,0,4,0,4,4,4.199005,4
89,3745,4,4,4,5,4,3,4,4,3,4,4.199005,4
16,5793,3,5,4,4,2,3,5,2,3,3,4.199005,4
86,9,5,4,5,5,0,0,3,0,5,0,4.199005,3
89,3344,4,4,5,4,4,4,4,4,4,5,4.199005,4
9,15984,5,5,4,5,0,0,5,0,5,4,4.199005,5
71,34,4,4,5,5,5,5,5,4,5,5,4.199005,5
89,13899,4,5,4,4,4,4,4,3,4,4,4.199005,4
66,9,4,2,3,5,0,0,5,0,4,2,4.157895,3
70,3546,4,5,5,4,3,5,5,0,3,0,4.705882,5
83,4018,5,5,5,5,5,0,5,0,4,4,4.96875,5
70,3235,5,5,5,5,3,5,4,0,3,0,3.974359,4
33,151,5,5,5,5,3,5,5,3,5,5,4.96875,5
9,172,4,3,3,2,0,0,3,0,4,3,3.052632,2
85,278,5,5,5,5,5,5,5,5,5,4,4.96875,5
83,4141,5,5,5,5,5,0,5,0,5,5,4.96875,5
67,3517,5,2,5,4,0,0,5,0,0,4,4.157895,4
86,7915,5,0,5,5,0,0,3,0,5,0,3.052632,4
14,229,0,0,3,4,0,0,5,0,3,4,4,3
83,15,5,5,5,5,5,0,5,0,5,5,4.96875,5
83,3975,5,5,5,5,0,0,5,0,5,4,4.96875,5
89,3138,4,5,5,4,4,4,4,4,4,4,3.974359,4
73,3855,3,5,5,5,4,0,5,0,3,5,4.090909,5
16,88,5,4,5,5,2,4,5,2,5,5,4,5
