@relation multicriteria_predicted

@attribute user numeric
@attribute project numeric
@attribute criterium1 numeric
@attribute criterium2 numeric
@attribute criterium3 numeric
@attribute criterium4 numeric
@attribute criterium5 numeric
@attribute criterium6 numeric
@attribute criterium7 numeric
@attribute criterium8 numeric
@attribute criterium9 numeric
@attribute criterium10 numeric
@attribute predictedoverall numeric
@attribute overall numeric

@data
89,3670,3,4,4,4,4,5,4,4,4,3,4.270725,4
83,14549,5,5,5,5,5,0,5,5,5,5,4.326441,5
70,3517,4,5,5,4,4,5,5,3,4,0,4.69332,5
74,3855,0,3,4,4,0,0,5,4,4,5,3.466768,4
84,3855,4,4,5,3,4,5,5,5,4,5,4.509878,5
88,3546,3,5,5,4,4,5,5,4,3,5,4.612822,4
16,3517,5,5,4,5,4,4,5,3,5,4,4.410782,4
70,4233,5,3,5,3,3,5,5,0,3,0,4.740839,4
89,5545,5,5,4,4,4,5,4,3,4,4,4.712014,4
9,386,5,4,5,4,0,0,4,0,3,3,3.871775,4
16,6303,4,4,4,4,0,4,4,0,4,5,4.138489,4
66,3975,0,2,4,5,0,0,5,0,4,3,3.546885,3
16,313,4,2,3,4,2,4,3,2,3,3,3.525014,3
71,43,4,5,4,5,5,5,5,5,4,5,4.568339,4
73,9,4,4,5,5,4,0,5,0,4,5,4.339656,5
9,41,4,4,5,4,5,0,5,0,3,5,3.964466,4
9,4696,2,5,5,3,3,0,5,0,3,3,3.947706,4
83,118,4,4,5,4,4,0,5,0,4,3,4.482092,4
75,10026,5,5,5,5,4,5,5,5,4,5,4.677708,5
25,3499,3,4,5,0,0,5,5,0,3,4,4.376695,4
16,557,5,5,5,5,4,5,4,2,5,4,4.368984,4
74,151,0,4,5,5,0,0,4,0,4,4,3.826979,4
75,41,4,4,5,4,4,5,5,4,3,5,4.517966,4
83,7448,5,5,5,5,0,0,5,0,5,4,4.706304,5
19,3517,5,5,5,5,4,5,5,3,5,4,4.483273,5
88,278,5,5,5,5,5,5,5,5,5,5,4.752777,5
66,3489,5,4,5,2,0,0,5,0,4,3,4.49435,4
11,3926,3,5,5,5,4,1,5,3,4,4,3.94426,4
21,20,4,4,5,5,4,4,5,5,5,4,4.073678,4
72,89885,4,4,5,4,3,0,3,0,4,2,4.095699,3
77,3855,4,5,5,5,5,5,5,5,5,5,4.57883,5
24,3926,4,5,5,5,5,5,5,4,4,5,4.337249,5
10,3762,5,5,5,5,5,5,5,5,5,5,4.30236,5
9,627,4,3,4,0,0,0,4,0,4,3,3.648262,3
83,26825,4,5,5,4,5,0,5,0,4,5,4.595877,4
83,7290,4,5,5,4,5,0,5,0,4,4,4.595877,4
67,3489,5,5,4,5,0,0,3,0,0,3,4.159749,4
9,34435,5,4,4,3,5,0,5,0,5,4,4.03391,4
