@relation multicriteria_predicted

@attribute user numeric
@attribute project numeric
@attribute criterium1 numeric
@attribute criterium2 numeric
@attribute criterium3 numeric
@attribute criterium4 numeric
@attribute criterium5 numeric
@attribute criterium6 numeric
@attribute criterium7 numeric
@attribute criterium8 numeric
@attribute criterium9 numeric
@attribute criterium10 numeric
@attribute predictedoverall numeric
@attribute overall numeric

@data
9,41,4,4,5,4,5,0,5,0,3,5,3.983208,4
9,4696,2,5,5,3,3,0,5,0,3,3,3.889705,4
83,118,4,4,5,4,4,0,5,0,4,3,4.391238,4
75,10026,5,5,5,5,4,5,5,5,4,5,4.708875,5
25,3499,3,4,5,0,0,5,5,0,3,4,4.537041,4
16,557,5,5,5,5,4,5,4,2,5,4,4.347759,4
74,151,0,4,5,5,0,0,4,0,4,4,3.720653,4
75,41,4,4,5,4,4,5,5,4,3,5,4.451356,4
83,7448,5,5,5,5,0,0,5,0,5,4,4.728251,5
19,3517,5,5,5,5,4,5,5,3,5,4,4.47287,5
88,278,5,5,5,5,5,5,5,5,5,5,4.71365,5
66,3489,5,4,5,2,0,0,5,0,4,3,4.568991,4
11,3926,3,5,5,5,4,1,5,3,4,4,3.877219,4
21,20,4,4,5,5,4,4,5,5,5,4,4.047858,4
72,89885,4,4,5,4,3,0,3,0,4,2,5.120022,3
77,3855,4,5,5,5,5,5,5,5,5,5,4.579934,5
24,3926,4,5,5,5,5,5,5,4,4,5,4.309466,5
10,3762,5,5,5,5,5,5,5,5,5,5,4.344398,5
9,627,4,3,4,0,0,0,4,0,4,3,3.904545,3
83,26825,4,5,5,4,5,0,5,0,4,5,4.891442,4
83,7290,4,5,5,4,5,0,5,0,4,4,4.602983,4
67,3489,5,5,4,5,0,0,3,0,0,3,3.888877,4
9,34435,5,4,4,3,5,0,5,0,5,4,4.600887,4
