@relation multicriteria_predicted

@attribute user numeric
@attribute project numeric
@attribute criterium1 numeric
@attribute criterium2 numeric
@attribute criterium3 numeric
@attribute criterium4 numeric
@attribute criterium5 numeric
@attribute criterium6 numeric
@attribute criterium7 numeric
@attribute criterium8 numeric
@attribute criterium9 numeric
@attribute criterium10 numeric
@attribute predictedoverall numeric
@attribute overall numeric

@data
88,278,5,5,5,5,5,5,5,5,5,5,5.001699,5
66,3489,5,4,5,2,0,0,5,0,4,3,4.773484,4
11,3926,3,5,5,5,4,1,5,3,4,4,4.257832,4
21,20,4,4,5,5,4,4,5,5,5,4,4.458342,4
72,89885,4,4,5,4,3,0,3,0,4,2,4.191763,3
77,3855,4,5,5,5,5,5,5,5,5,5,4.820667,5
24,3926,4,5,5,5,5,5,5,4,4,5,4.435291,5
10,3762,5,5,5,5,5,5,5,5,5,5,4.637915,5
9,627,4,3,4,0,0,0,4,0,4,3,3.77588,3
83,26825,4,5,5,4,5,0,5,0,4,5,4.75563,4
83,7290,4,5,5,4,5,0,5,0,4,4,4.728293,4
67,3489,5,5,4,5,0,0,3,0,0,3,3.547345,4
9,34435,5,4,4,3,5,0,5,0,5,4,4.390307,4
