@relation multicriteria_predicted

@attribute user numeric
@attribute project numeric
@attribute criterium1 numeric
@attribute criterium2 numeric
@attribute criterium3 numeric
@attribute criterium4 numeric
@attribute criterium5 numeric
@attribute criterium6 numeric
@attribute criterium7 numeric
@attribute criterium8 numeric
@attribute criterium9 numeric
@attribute criterium10 numeric
@attribute predictedoverall numeric
@attribute overall numeric

@data
16,88,5,4,5,5,2,4,5,2,5,5,4.265073,5
36,3855,3,3,4,3,4,5,5,3,5,5,4.061222,4
75,26825,5,5,5,5,4,5,5,5,5,5,4.869307,5
14,3969,0,4,4,4,0,0,5,0,3,4,3.775932,4
72,151,5,5,4,5,3,0,4,0,4,5,4.560328,4
75,3489,5,4,4,5,3,4,5,3,2,3,3.944186,4
70,151,0,0,0,0,0,0,0,0,0,0,3.319451,5
83,5120,5,5,5,5,5,0,5,0,5,5,4.775021,5
65,3855,5,5,5,4,3,5,5,4,4,5,4.592926,5
9,278,4,5,5,3,4,3,5,0,4,5,4.436072,5
16,3745,4,5,4,5,4,5,5,4,4,5,4.450508,5
89,3855,4,5,4,5,5,5,5,4,4,5,4.572501,4
84,151,5,5,5,5,4,0,5,0,0,5,4.266267,5
89,3670,3,4,4,4,4,5,4,4,4,3,4.178568,4
83,14549,5,5,5,5,5,0,5,5,5,5,4.390017,5
70,3517,4,5,5,4,4,5,5,3,4,0,4.710085,5
74,3855,0,3,4,4,0,0,5,4,4,5,3.70963,4
84,3855,4,4,5,3,4,5,5,5,4,5,4.492898,5
88,3546,3,5,5,4,4,5,5,4,3,5,4.362073,4
16,3517,5,5,4,5,4,4,5,3,5,4,4.409259,4
70,4233,5,3,5,3,3,5,5,0,3,0,4.316234,4
89,5545,5,5,4,4,4,5,4,3,4,4,4.383489,4
9,386,5,4,5,4,0,0,4,0,3,3,3.89673,4
16,6303,4,4,4,4,0,4,4,0,4,5,3.944992,4
66,3975,0,2,4,5,0,0,5,0,4,3,3.707741,3
16,313,4,2,3,4,2,4,3,2,3,3,3.216275,3
71,43,4,5,4,5,5,5,5,5,4,5,4.628506,4
73,9,4,4,5,5,4,0,5,0,4,5,4.494025,5
9,41,4,4,5,4,5,0,5,0,3,5,4.049071,4
9,4696,2,5,5,3,3,0,5,0,3,3,3.951856,4
83,118,4,4,5,4,4,0,5,0,4,3,4.316326,4
75,10026,5,5,5,5,4,5,5,5,4,5,4.732811,5
25,3499,3,4,5,0,0,5,5,0,3,4,4.129753,4
16,557,5,5,5,5,4,5,4,2,5,4,4.649166,4
